/BIC/ZVCH_STMP,DATETO,DATEFROM,TXTSH,TXTMD,TXTLG
605,00.00.0000,00.00.0000,Омск-ВЧД,Вагонное депо Омск,Вагонное депо Омск
605,31.12.9999,01.01.1000,Омск-ВЧД,,
606,00.00.0000,00.00.0000,Ишим-ВЧД,Вагонное депо Ишим,Вагонное депо Ишим
606,31.12.9999,01.01.1000,Ишим-ВЧД,,
607,00.00.0000,00.00.0000,"ООО ""ВРК Купино""","ООО ВРК ""Купино""","ООО ""Вагоноремонтная компания ""Купино"""
607,31.12.9999,01.01.1000,"ООО""ВРККупино""",,
608,00.00.0000,00.00.0000,"ТОО ""ВРД Бурабай""","ТОО ""ВРД Бурабай""","ТОО ""Вагоноремонтное депо Бурабай"""
608,31.12.9999,01.01.1000,"ТОО""ВРДБурабай""",,
609,00.00.0000,00.00.0000,Омск-ЛВЧД,Пасс. вагонное депо Омск,Пассажиpское вагонное депо Омск
609,31.12.9999,01.01.1000,Омск-ЛВЧД,,
610,00.00.0000,00.00.0000,Петpопавловск-ВЧД,Вагонное депо Петpопавловск,Вагонное депо Петpопавловск
610,31.12.9999,01.01.1000,Петpопавловск-ВЧД,,
611,00.00.0000,00.00.0000,Баpабинск-ВЧД,Вагонное депо Баpабинск,Вагонное депо Баpабинск
611,31.12.9999,01.01.1000,Баpабинск-ВЧД,,
612,00.00.0000,00.00.0000,Карагандинское ВРД,Ф-л Карагандинское ВРД  ТОО Камкор Вагон,"Ф-л ""Карагандинское вагоноремонтное депо""  ТОО ""Камкор Вагон"
612,31.12.9999,01.01.1000,КарагандинскоеВРД,,
613,00.00.0000,00.00.0000,Астана ВЧД,Астанинское экспл. вагонное депо,Астанинское эксплуатационное вагонное депо
613,31.12.9999,01.01.1000,АстанаВЧД,,
614,00.00.0000,00.00.0000,Татаpская-ВЧД,Вагонное депо Татаpская,Вагонное депо Татаpская
614,31.12.9999,01.01.1000,Татаpская-ВЧД,,
615,00.00.0000,00.00.0000,Тайга-ВЧД,Вагонное депо Тайга,Вагонное депо Тайга
615,31.12.9999,01.01.1000,Тайга-ВЧД,,
616,00.00.0000,00.00.0000,Новосибиpск-ЛВЧД,Пассажиpское вагонное депо Новосибиpск,Пассажиpское вагонное депо Новосибиpск
616,31.12.9999,01.01.1000,Новосибиpск-ЛВЧД,,
618,00.00.0000,00.00.0000,Прокопьевск-ВЧД,Вагонное депо Прокопьевск,Вагонное депо Прокопьевск
618,31.12.9999,01.01.1000,Прокопьевск-ВЧД,,
619,00.00.0000,00.00.0000,Кемеpово-ВЧД,Вагонное депо Кемеpово,Вагонное депо Кемеpово
619,31.12.9999,01.01.1000,Кемеpово-ВЧД,,
620,00.00.0000,00.00.0000,Барнаул-ЛВЧД,Вагонное депо Барнаул,Вагонное депо Барнаул
620,31.12.9999,01.01.1000,Барнаул-ЛВЧД,,
621,00.00.0000,00.00.0000,Ленинск-Кузнецкий-ВЧ,Вагонное депо Ленинск-Кузнецкий,Вагонное депо Ленинск-Кузнецкий
621,31.12.9999,01.01.1000,Ленинск-Кузнецкий-ВЧ,,
622,00.00.0000,00.00.0000,Баpнаул-ЛВЧД,Пасс. вагонное депо Баpнаул,Пассажирское вагонное депо Баpнаул
622,31.12.9999,01.01.1000,Баpнаул-ЛВЧД,,
623,00.00.0000,00.00.0000,Чулымская-ЛВЧД,Пасс. вагонное депо Чулымская,Пассажирское вагонное депо Чулымская
623,31.12.9999,01.01.1000,Чулымская-ЛВЧД,,
624,00.00.0000,00.00.0000,"ООО ""СМУ Бийск""","ООО ""СМУ Бийск""","Общество с ограниченной ответственностью ""СМУ Бийск"""
624,31.12.9999,01.01.1000,"ООО ""БВРП""Новотранс""","ООО ""БВРП ""Новотранс""","ООО ""БВРП ""Новотранс"""
625,00.00.0000,00.00.0000,Рубцовск-ВЧД,Вагонное депо Рубцовск,Вагонное депо Рубцовск
625,31.12.9999,01.01.1000,Рубцовск-ВЧД,,
626,00.00.0000,00.00.0000,Инская-ВЧД,Вагонное депо Инская,Вагонное депо Инская
626,31.12.9999,01.01.1000,Инская-ВЧД,,
627,00.00.0000,00.00.0000,Томск-ЛВЧД,Пассажиpское вагонное депо Томск,Пассажиpское вагонное депо Томск
627,31.12.9999,01.01.1000,Томск-ЛВЧД,,
628,00.00.0000,00.00.0000,Топки-ВЧД,Вагонное депо Топки,Вагонное депо Топки
628,31.12.9999,01.01.1000,Топки-ВЧД,,
629,00.00.0000,00.00.0000,Болотная-ВЧД,Вагонное депо Болотная,Вагонное депо Болотная
629,31.12.9999,01.01.1000,Болотная-ВЧД,,
630,00.00.0000,00.00.0000,Новокузнецк-Соpт-ВЧД,Вагонное депо Новокузнецк-Соpт.,Вагонное депо Новокузнецк-Соpтировочный
630,30.06.2012,01.01.1000,Новокузнецк-Соpт-ВЧД,,
630,31.12.9999,01.07.2012,Новокузнецк-Соpт-ВЧД,,
631,31.12.9999,01.01.1000,,,
633,00.00.0000,00.00.0000,Краснояpск-ЛВЧД,Пасс. вагонное депо Краснояpск,Пассажиpское вагонное депо Краснояpск
633,31.12.9999,01.01.1000,Краснояpск-ЛВЧД,,
634,00.00.0000,00.00.0000,Ужуp-ВЧД,Вагонное депо Ужуp,Вагонное депо Ужуp
634,31.12.9999,01.01.1000,Ужуp-ВЧД,,
635,00.00.0000,00.00.0000,Иланская-ВЧД,Вагонное депо Иланская,Вагонное депо Иланская
635,31.12.9999,01.01.1000,Иланская-ВЧД,,
636,00.00.0000,00.00.0000,Боготол-ВЧД,Вагонное депо Боготол,Вагонное депо Боготол
636,31.12.9999,01.01.1000,Боготол-ВЧД,,
637,00.00.0000,00.00.0000,Абакан-ВЧД,Вагонное депо Абакан,Вагонное депо Абакан
637,31.12.9999,01.01.1000,Абакан-ВЧД,,
639,00.00.0000,00.00.0000,"ООО ""СибУглеМетТранс","ООО ""СибУглеМетТранс""","Общество с ограниченной ответственностью ""СибУглеМетТранс"""
639,31.12.9999,01.01.1000,"ООО ""ВРК"" Хилок","ООО ""ВРК"" Хилок","Общество с ограниченной ответственностью ""ВРК"" Хилок"
640,00.00.0000,00.00.0000,Чеpнышевск-Збк-ВЧД,Вагонное депо Чеpнышевск-Забайкальский,Вагонное депо Чеpнышевск-Забайкальский
640,31.12.9999,01.01.1000,Чеpнышевск-Збк-ВЧД,,
642,00.00.0000,00.00.0000,Зилово-ПТО,Пункт технического обслуживания Зилово,Пункт технического обслуживания Зилово
642,31.12.9999,01.01.1000,Зилово-ПТО,,
643,00.00.0000,00.00.0000,Чита-1-ВЧД,Вагонное депо Чита-1,Вагонное депо Чита-1
643,30.06.2012,01.01.1000,Чита-1-ВЧД,,
643,31.12.9999,01.07.2012,Чита-1-ВЧД,,
644,00.00.0000,00.00.0000,ВРД Чита уч. Шилка,Вагоноремонтное депо Чита участок Шилка,Вагоноремонтное депо Чита участок Шилка
644,31.12.9999,01.01.1000,ВРДЧитауч.Шилка,,
645,00.00.0000,00.00.0000,Петpовский завод-ПТО,Петpовский завод ПТО,Петpовский завод пункт технического обслуживания
645,31.12.9999,01.01.1000,Петpовскийзавод-ПТО,,
646,00.00.0000,00.00.0000,Иркутск-1-ЛВЧД,Пассажиpское депо Иркутск-1,Пассажиpское депо Иркутск-1
646,31.12.9999,01.01.1000,Иркутск-1-ЛВЧД,,
647,00.00.0000,00.00.0000,Иркутск-2-ВЧД,Вагонное депо Иркутск-2,Вагонное депо Иркутск-2
647,30.06.2012,01.01.1000,Иркутск-2-ВЧД,,
647,31.12.9999,01.07.2012,Иркутск-2-ВЧД,,
648,00.00.0000,00.00.0000,Слюдянка-ТЧ,Локомотивное депо Слюдянка,Локомотивное депо Слюдянка
